Marca temporal,Enunciado de la pregunta,Respuesta A,Respuesta B,Respuesta C,Respuesta D,Respuesta correcta,Área temática,Dificultad
2/05/2017 12:49:30,"Valencia fue fundada por los romanos como colonia en el año 138 
a. C., siendo cónsul Décimo Junio Bruto Galaico, y 
se denominó:",Valentia,Valentia Edetanorum,Valentum,Turia,B,1 Valencia Romana,3 Normal
2/05/2017 12:55:49,¿Dónde y cuándo nació San Vicente?,"Valencia, 11 de abril de 1492","Valencia, 23 enero de 1350","Tortosa, 29 Febrero 1298","Vannes,  1350 Francia",B,2 Valencia Medieval,3 Normal
2/05/2017 12:58:54,Donde nació el compositor del himno de Valencia ?,Madrid,Barcelona,Valencia,Sueca,D,4 Valencia contemporánea,3 Normal
2/05/2017 12:59:13,¿Dónde fue bautizado San Vicente Ferrer?,Parroquia San Esteban,Iglesia de la Anunciación,Iglesia de San Ramón,Catedral,A,2 Valencia Medieval,3 Normal
2/05/2017 12:59:17,Tubérculo a partir del cual se fabrica la horchata,Azúcar,Agua,Patata,Chufa,D,3 Valencia Moderna,2 Fácil
2/05/2017 12:59:40,Tubérculo a partir del cual se fabrica la horchata,Azúcar,Agua,Chufa,Patata,D,3 Valencia Moderna,1 Muy fácil
2/05/2017 13:00:33,Ingrediente más importante de la orchata,Chufa,Agua,Azúcar ,Patata,A,3 Valencia Moderna,1 Muy fácil
2/05/2017 13:00:46,¿Cómo era San Vicente de niño?,"piadoso, curioso y uraño","estudioso, rebelde y curioso","estudioso, obediente y piadoso",obediente y callado,D,2 Valencia Medieval,2 Fácil
2/05/2017 13:01:20,Condimento que le da el color característico a la paella,Tomate,Azafrán,Pimentón,Colorante,B,3 Valencia Moderna,3 Normal
2/05/2017 13:01:20,Condimento que le da el color amarillo característico a la paella,Pimentón,Azafrán,Tomate,Colorante rojo,B,3 Valencia Moderna,3 Normal
2/05/2017 13:03:29,¿Conoces lo que ocurrió con unos barcos de trigo en Barcelona?,Pagó con dinero el trigo que había en los barcos,Mandó hundir los barcos pues estaban en mal estado,Dio tranquilidad al pueblo y dijo que vendrían esa noche apesar de que el mar estaba embravecido,pidió que rezaran todos juntos para solucionar la pobreza,D,2 Valencia Medieval,3 Normal
2/05/2017 13:03:39,¿En que año nació Manuel Penella Moreno? ,1532,2007,1945,1880,D,4 Valencia contemporánea,5 Muy complicada
2/05/2017 13:04:00,"¿En que año estrenó Concha Piquer la obra ""El gato montés"" en Nueva York?",1895,2017,1942,1922,D,4 Valencia contemporánea,4 Complicada
2/05/2017 13:04:58,¿Cuándo fue ordenado sacerdote San VIcente Ferrer?,1375,1389,1367,1378,D,2 Valencia Medieval,4 Complicada
2/05/2017 13:05:36,En que año nació Manuel Penella ?,1881,1980,1981,1880,D,4 Valencia contemporánea,2 Fácil
2/05/2017 13:06:12,Ingrediente que no se le pone a la paella,Conejo,Guisantes,Arroz,Garrafón,B,3 Valencia Moderna,2 Fácil
2/05/2017 13:06:18,Que ingrediente de estos no tiene la paella,Conejo,Guisantes,Arroz,Garrafón,B,3 Valencia Moderna,2 Fácil
2/05/2017 13:06:49,¿Tuvo San Vicente algún cargo en el convento de predicadores de Valencia?,Prior,diacono,obispo,sacerdote,A,2 Valencia Medieval,3 Normal
2/05/2017 13:06:59,¿En que año nació Concha Piquer?,1901,2002,1906,1884,D,4 Valencia contemporánea,4 Complicada
2/05/2017 13:07:22,Qué médico que trabajó en Valencia ganó el premio Nobel de medicina ?,Luis Simarro,Manuel Candela,Ramón y Cajal,Gómez Ferrer,D,4 Valencia contemporánea,3 Normal
